pregunta,respuesta
"mis matas de maracuyá tienen unas manchas raras, ¿qué puede ser?","Puede ser Antracnosis, causada por Colletotrichum spp.. Los síntomas son: manchas necróticas oscuras en hojas y frutos, aspecto acuoso al inicio que luego se torna seco y hundido. Esta enfermedad favorecida por humedad alta y temperaturas entre 20-28°C. Para tratarla puedes usar Azoxistrobina, Difenoconazol, Mancozeb. Te recomiendo consultar con un técnico para confirmar el diagnóstico."
"se me está muriendo el cultivo de maracuyá, tiene manchas necróticas oscuras en hojas y fr","Eso suena a Antracnosis, causada por Colletotrichum spp.. manchas necróticas oscuras en hojas y frutos, aspecto acuoso al inicio que luego se torna seco y hundido. Esta enfermedad favorecida por humedad alta y temperaturas entre 20-28°C. Los fungicidas que funcionan son: Azoxistrobina, Difenoconazol, Mancozeb. Es importante actuar rápido antes de que se propague."
qué le pasa a mi maracuyá que tiene manchas,"Sin ver la planta es difícil saber con certeza, pero si las manchas son manchas necróticas oscuras en hojas y frutos, aspecto acuoso, podría ser Antracnosis. Esta enfermedad favorecida por humedad alta y temperaturas entre 20-28°C. Para controlarla se usan productos como Azoxistrobina, Difenoconazol, Mancozeb."
cómo sé si mi cultivo tiene antracnosis,"La Antracnosis se reconoce porque manchas necróticas oscuras en hojas y frutos, aspecto acuoso al inicio que luego se torna seco y hundido. Si ves estas señales en tu maracuyá, favorecida por humedad alta y temperaturas entre 20-28°C. Trata con Azoxistrobina, Difenoconazol, Mancozeb y evita el exceso de humedad."
"me dijeron que mi cultivo tiene antracnosis, ¿es grave?","Sí, la Antracnosis puede ser grave si no se controla a tiempo. Es causada por Colletotrichum spp. y manchas necróticas oscuras en hojas y frutos, aspecto acuoso al inicio que luego se torna seco y hundido. Actúa pronto con Azoxistrobina, Difenoconazol, Mancozeb y mejora la ventilación del cultivo."
¿cuáles son los síntomas de Antracnosis en maracuyá?,"La Antracnosis causada por Colletotrichum spp. presenta: manchas necróticas oscuras en hojas y frutos, aspecto acuoso al inicio que luego se torna seco y hundido. Las condiciones favorables son: favorecida por humedad alta y temperaturas entre 20-28°C. Se recomienda usar Azoxistrobina, Difenoconazol, Mancozeb con rotación de modos de acción."
¿qué fungicidas recomiendas para controlar Antracnosis?,"Para el control de Antracnosis (Colletotrichum spp.) en maracuyá, gulupa, granadilla se recomiendan: Azoxistrobina, Difenoconazol, Mancozeb. Es importante rotar entre diferentes códigos FRAC para evitar resistencias. La enfermedad favorecida por humedad alta y temperaturas entre 20-28°C."
¿cómo se diferencia Antracnosis de otras enfermedades en pasifloras?,"La Antracnosis se distingue porque manchas necróticas oscuras en hojas y frutos, aspecto acuoso al inicio que luego se torna seco y hundido. Esto la diferencia de otras enfermedades fúngicas que pueden tener síntomas similares. Las condiciones que la favorecen: favorecida por humedad alta y temperaturas entre 20-28°C."
¿bajo qué condiciones climáticas se desarrolla Antracnosis?,"La Antracnosis causada por Colletotrichum spp. favorecida por humedad alta y temperaturas entre 20-28°C. Por eso es clave monitorear el cultivo en épocas lluviosas y aplicar preventivamente Azoxistrobina, Difenoconazol, Mancozeb."
¿cuál es el agente causal de la Antracnosis en passifloras?,"La Antracnosis es causada por Colletotrichum spp.. Se manifiesta como manchas necróticas oscuras en hojas y frutos, aspecto acuoso al inicio que luego se torna seco y hundido. Afecta cultivos de maracuyá, gulupa, granadilla y favorecida por humedad alta y temperaturas entre 20-28°C."
¿cuál es el mecanismo de patogénesis de Colletotrichum spp. en Passifloraceae?,"Colletotrichum spp., agente causal de Antracnosis, penetra el tejido vegetal en condiciones de favorecida por humedad alta y temperaturas entre 20-28°C. Los síntomas observados son manchas necróticas oscuras en hojas y frutos, aspecto acuoso al inicio que luego se torna seco y hundido. Para su manejo integrado se recomienda combinar Azoxistrobina, Difenoconazol, Mancozeb con estrategias culturales como podas de aireación y manejo de humedad."
¿qué estrategia de rotación de fungicidas recomiendas para Antracnosis considerando riesgo de resistencia?,"Para Antracnosis causada por Colletotrichum spp. se recomienda rotar entre Azoxistrobina, Difenoconazol, Mancozeb, alternando sus códigos FRAC para minimizar presión de selección. Combinar con multi-sitios como Mancozeb en programas preventivos."
¿cómo integrar el control biológico con el químico para Antracnosis?,"En el manejo integrado de Antracnosis se puede combinar el uso de biofungicidas como Trichoderma harzianum o Bacillus subtilis en suelo con aplicaciones foliares de Azoxistrobina, Difenoconazol, Mancozeb en momentos críticos del ciclo. La clave es aplicar biológicos preventivamente y químicos curativamente."
"mis matas de maracuyá tienen unas manchas raras, ¿qué puede ser?","Puede ser Mildiú velloso, causada por Oomycetes (Peronospora spp.). Los síntomas son: crecimiento algodonoso blanquecino o grisáceo en el envés de las hojas con manchas amarillas en el haz. Esta enfermedad se desarrolla con humedad relativa superior al 85%. Para tratarla puedes usar Mandipropamid, Metalaxil-M. Te recomiendo consultar con un técnico para confirmar el diagnóstico."
"se me está muriendo el cultivo de maracuyá, tiene crecimiento algodonoso blanquecino o gri","Eso suena a Mildiú velloso, causada por Oomycetes (Peronospora spp.). crecimiento algodonoso blanquecino o grisáceo en el envés de las hojas con manchas amarillas en el haz. Esta enfermedad se desarrolla con humedad relativa superior al 85%. Los fungicidas que funcionan son: Mandipropamid, Metalaxil-M. Es importante actuar rápido antes de que se propague."
qué le pasa a mi maracuyá que tiene manchas,"Sin ver la planta es difícil saber con certeza, pero si las manchas son crecimiento algodonoso blanquecino o grisáceo en el envés de, podría ser Mildiú velloso. Esta enfermedad se desarrolla con humedad relativa superior al 85%. Para controlarla se usan productos como Mandipropamid, Metalaxil-M."
cómo sé si mi cultivo tiene mildiú velloso,"La Mildiú velloso se reconoce porque crecimiento algodonoso blanquecino o grisáceo en el envés de las hojas con manchas amarillas en el haz. Si ves estas señales en tu maracuyá, se desarrolla con humedad relativa superior al 85%. Trata con Mandipropamid, Metalaxil-M y evita el exceso de humedad."
"me dijeron que mi cultivo tiene mildiú velloso, ¿es grave?","Sí, la Mildiú velloso puede ser grave si no se controla a tiempo. Es causada por Oomycetes (Peronospora spp.) y crecimiento algodonoso blanquecino o grisáceo en el envés de las hojas con manchas amarillas en el haz. Actúa pronto con Mandipropamid, Metalaxil-M y mejora la ventilación del cultivo."
¿cuáles son los síntomas de Mildiú velloso en maracuyá?,"La Mildiú velloso causada por Oomycetes (Peronospora spp.) presenta: crecimiento algodonoso blanquecino o grisáceo en el envés de las hojas con manchas amarillas en el haz. Las condiciones favorables son: se desarrolla con humedad relativa superior al 85%. Se recomienda usar Mandipropamid, Metalaxil-M con rotación de modos de acción."
¿qué fungicidas recomiendas para controlar Mildiú velloso?,"Para el control de Mildiú velloso (Oomycetes (Peronospora spp.)) en maracuyá se recomiendan: Mandipropamid, Metalaxil-M. Es importante rotar entre diferentes códigos FRAC para evitar resistencias. La enfermedad se desarrolla con humedad relativa superior al 85%."
¿cómo se diferencia Mildiú velloso de otras enfermedades en pasifloras?,La Mildiú velloso se distingue porque crecimiento algodonoso blanquecino o grisáceo en el envés de las hojas con manchas amarillas en el haz. Esto la diferencia de otras enfermedades fúngicas que pueden tener síntomas similares. Las condiciones que la favorecen: se desarrolla con humedad relativa superior al 85%.
¿bajo qué condiciones climáticas se desarrolla Mildiú velloso?,"La Mildiú velloso causada por Oomycetes (Peronospora spp.) se desarrolla con humedad relativa superior al 85%. Por eso es clave monitorear el cultivo en épocas lluviosas y aplicar preventivamente Mandipropamid, Metalaxil-M."
¿cuál es el agente causal de la Mildiú velloso en passifloras?,La Mildiú velloso es causada por Oomycetes (Peronospora spp.). Se manifiesta como crecimiento algodonoso blanquecino o grisáceo en el envés de las hojas con manchas amarillas en el haz. Afecta cultivos de maracuyá y se desarrolla con humedad relativa superior al 85%.
¿cuál es el mecanismo de patogénesis de Oomycetes (Peronospora spp.) en Passifloraceae?,"Oomycetes (Peronospora spp.), agente causal de Mildiú velloso, penetra el tejido vegetal en condiciones de se desarrolla con humedad relativa superior al 85%. Los síntomas observados son crecimiento algodonoso blanquecino o grisáceo en el envés de las hojas con manchas amarillas en el haz. Para su manejo integrado se recomienda combinar Mandipropamid, Metalaxil-M con estrategias culturales como podas de aireación y manejo de humedad."
¿qué estrategia de rotación de fungicidas recomiendas para Mildiú velloso considerando riesgo de resistencia?,"Para Mildiú velloso causada por Oomycetes (Peronospora spp.) se recomienda rotar entre Mandipropamid, Metalaxil-M, alternando sus códigos FRAC para minimizar presión de selección. Combinar con multi-sitios como Mancozeb en programas preventivos."
¿cómo integrar el control biológico con el químico para Mildiú velloso?,"En el manejo integrado de Mildiú velloso se puede combinar el uso de biofungicidas como Trichoderma harzianum o Bacillus subtilis en suelo con aplicaciones foliares de Mandipropamid, Metalaxil-M en momentos críticos del ciclo. La clave es aplicar biológicos preventivamente y químicos curativamente."
"mis matas de maracuyá tienen unas manchas raras, ¿qué puede ser?","Puede ser Moho gris, causada por Botrytis cinerea. Los síntomas son: micelio gris característico sobre flores y frutos, lesiones blandas de color marrón que se cubren de esporas grises. Esta enfermedad favorecido por temperaturas frescas entre 15-20°C y alta humedad. Para tratarla puedes usar Boscalid, Iprodione, Pyrimethanil. Te recomiendo consultar con un técnico para confirmar el diagnóstico."
"se me está muriendo el cultivo de maracuyá, tiene micelio gris característico sobre flores","Eso suena a Moho gris, causada por Botrytis cinerea. micelio gris característico sobre flores y frutos, lesiones blandas de color marrón que se cubren de esporas grises. Esta enfermedad favorecido por temperaturas frescas entre 15-20°C y alta humedad. Los fungicidas que funcionan son: Boscalid, Iprodione, Pyrimethanil. Es importante actuar rápido antes de que se propague."
qué le pasa a mi maracuyá que tiene manchas,"Sin ver la planta es difícil saber con certeza, pero si las manchas son micelio gris característico sobre flores y frutos, lesiones , podría ser Moho gris. Esta enfermedad favorecido por temperaturas frescas entre 15-20°C y alta humedad. Para controlarla se usan productos como Boscalid, Iprodione, Pyrimethanil."
cómo sé si mi cultivo tiene moho gris,"La Moho gris se reconoce porque micelio gris característico sobre flores y frutos, lesiones blandas de color marrón que se cubren de esporas grises. Si ves estas señales en tu maracuyá, favorecido por temperaturas frescas entre 15-20°C y alta humedad. Trata con Boscalid, Iprodione, Pyrimethanil y evita el exceso de humedad."
"me dijeron que mi cultivo tiene moho gris, ¿es grave?","Sí, la Moho gris puede ser grave si no se controla a tiempo. Es causada por Botrytis cinerea y micelio gris característico sobre flores y frutos, lesiones blandas de color marrón que se cubren de esporas grises. Actúa pronto con Boscalid, Iprodione, Pyrimethanil y mejora la ventilación del cultivo."
¿cuáles son los síntomas de Moho gris en maracuyá?,"La Moho gris causada por Botrytis cinerea presenta: micelio gris característico sobre flores y frutos, lesiones blandas de color marrón que se cubren de esporas grises. Las condiciones favorables son: favorecido por temperaturas frescas entre 15-20°C y alta humedad. Se recomienda usar Boscalid, Iprodione, Pyrimethanil con rotación de modos de acción."
¿qué fungicidas recomiendas para controlar Moho gris?,"Para el control de Moho gris (Botrytis cinerea) en maracuyá, gulupa se recomiendan: Boscalid, Iprodione, Pyrimethanil. Es importante rotar entre diferentes códigos FRAC para evitar resistencias. La enfermedad favorecido por temperaturas frescas entre 15-20°C y alta humedad."
¿cómo se diferencia Moho gris de otras enfermedades en pasifloras?,"La Moho gris se distingue porque micelio gris característico sobre flores y frutos, lesiones blandas de color marrón que se cubren de esporas grises. Esto la diferencia de otras enfermedades fúngicas que pueden tener síntomas similares. Las condiciones que la favorecen: favorecido por temperaturas frescas entre 15-20°C y alta humedad."
¿bajo qué condiciones climáticas se desarrolla Moho gris?,"La Moho gris causada por Botrytis cinerea favorecido por temperaturas frescas entre 15-20°C y alta humedad. Por eso es clave monitorear el cultivo en épocas lluviosas y aplicar preventivamente Boscalid, Iprodione, Pyrimethanil."
¿cuál es el agente causal de la Moho gris en passifloras?,"La Moho gris es causada por Botrytis cinerea. Se manifiesta como micelio gris característico sobre flores y frutos, lesiones blandas de color marrón que se cubren de esporas grises. Afecta cultivos de maracuyá, gulupa y favorecido por temperaturas frescas entre 15-20°C y alta humedad."
¿cuál es el mecanismo de patogénesis de Botrytis cinerea en Passifloraceae?,"Botrytis cinerea, agente causal de Moho gris, penetra el tejido vegetal en condiciones de favorecido por temperaturas frescas entre 15-20°C y alta humedad. Los síntomas observados son micelio gris característico sobre flores y frutos, lesiones blandas de color marrón que se cubren de esporas grises. Para su manejo integrado se recomienda combinar Boscalid, Iprodione, Pyrimethanil con estrategias culturales como podas de aireación y manejo de humedad."
¿qué estrategia de rotación de fungicidas recomiendas para Moho gris considerando riesgo de resistencia?,"Para Moho gris causada por Botrytis cinerea se recomienda rotar entre Boscalid, Iprodione, Pyrimethanil, alternando sus códigos FRAC para minimizar presión de selección. Combinar con multi-sitios como Mancozeb en programas preventivos."
¿cómo integrar el control biológico con el químico para Moho gris?,"En el manejo integrado de Moho gris se puede combinar el uso de biofungicidas como Trichoderma harzianum o Bacillus subtilis en suelo con aplicaciones foliares de Boscalid, Iprodione, Pyrimethanil en momentos críticos del ciclo. La clave es aplicar biológicos preventivamente y químicos curativamente."
"mis matas de granadilla tienen unas manchas raras, ¿qué puede ser?","Puede ser Secadera, causada por Fusarium oxysporum. Los síntomas son: amarillamiento progresivo desde la base, marchitez súbita, oscurecimiento de tejido vascular al cortar el tallo. Esta enfermedad favorecida por suelos ácidos, mal drenados y compactados. Para tratarla puedes usar Trichoderma harzianum, Bacillus subtilis, Fosetil-Al. Te recomiendo consultar con un técnico para confirmar el diagnóstico."
"se me está muriendo el cultivo de granadilla, tiene amarillamiento progresivo desde la base,","Eso suena a Secadera, causada por Fusarium oxysporum. amarillamiento progresivo desde la base, marchitez súbita, oscurecimiento de tejido vascular al cortar el tallo. Esta enfermedad favorecida por suelos ácidos, mal drenados y compactados. Los fungicidas que funcionan son: Trichoderma harzianum, Bacillus subtilis, Fosetil-Al. Es importante actuar rápido antes de que se propague."
qué le pasa a mi granadilla que tiene manchas,"Sin ver la planta es difícil saber con certeza, pero si las manchas son amarillamiento progresivo desde la base, marchitez súbita, o, podría ser Secadera. Esta enfermedad favorecida por suelos ácidos, mal drenados y compactados. Para controlarla se usan productos como Trichoderma harzianum, Bacillus subtilis, Fosetil-Al."
