pregunta,respuesta
¿Qué fungicida uso para la Antracnosis en maracuyá?,"Para controlar la Antracnosis en maracuyá se recomienda Azoxistrobina, aplicado por Aspersión foliar manual o inmersión post-cosecha. Uso de EPP completo (manga larga, guantes, protección ocular). Respetar periodos de carencia y límites máximos de residuos (LMR)."
"Tengo Antracnosis en mi cultivo de maracuyá, ¿qué hago?","Usa Azoxistrobina mediante Aspersión foliar manual o inmersión post-cosecha. Riesgos a tener en cuenta: Clasificación OMS U. ADI: mg/kg pc. Toxicidad hepática y renal en dosis altas. Irritación leve en ojos y piel.. Protección: Uso de EPP completo (manga larga, guantes, protección ocular). Respetar periodos de carencia y límites máximos de residuos (LMR)."
¿Cómo controlo la Antracnosis causada por  Colletotrichum gloeosporioides  en maracuyá?,El control de Antracnosis en maracuyá se realiza con Azoxistrobina (Aspersión foliar manual o inmersión post-cosecha). Modo de acción: Inhibidor QoI (Código FRAC 11). Sistémico. Inhibe la respiración mitocondrial (Complejo III)..
¿Qué riesgos tiene el Azoxistrobina?,"El Azoxistrobina presenta: Clasificación OMS U. ADI: mg/kg pc. Toxicidad hepática y renal en dosis altas. Irritación leve en ojos y piel.. Para protegerte: Uso de EPP completo (manga larga, guantes, protección ocular). Respetar periodos de carencia y límites máximos de residuos (LMR)."
¿Es peligroso el Azoxistrobina para la salud?,"Respecto al Azoxistrobina: Clasificación OMS U. ADI: mg/kg pc. Toxicidad hepática y renal en dosis altas. Irritación leve en ojos y piel.. Medidas de protección recomendadas: Uso de EPP completo (manga larga, guantes, protección ocular). Respetar periodos de carencia y límites máximos de residuos (LMR)."
¿Cómo me protejo al aplicar Azoxistrobina?,"Al usar Azoxistrobina debes saber que: Clasificación OMS U. ADI: mg/kg pc. Toxicidad hepática y renal en dosis altas. Irritación leve en ojos y piel.. Para protegerte adecuadamente: Uso de EPP completo (manga larga, guantes, protección ocular). Respetar periodos de carencia y límites máximos de residuos (LMR)."
¿El Azoxistrobina daña la piel o los ojos?,"Sobre los riesgos del Azoxistrobina: Clasificación OMS U. ADI: mg/kg pc. Toxicidad hepática y renal en dosis altas. Irritación leve en ojos y piel.. Se recomienda: Uso de EPP completo (manga larga, guantes, protección ocular). Respetar periodos de carencia y límites máximos de residuos (LMR)."
¿Cómo se aplica el Azoxistrobina?,"El Azoxistrobina se aplica mediante Aspersión foliar manual o inmersión post-cosecha. Su acción: Inhibidor QoI (Código FRAC 11). Sistémico. Inhibe la respiración mitocondrial (Complejo III).. Precauciones: Uso de EPP completo (manga larga, guantes, protección ocular). Respetar periodos de carencia y límites máximos de residuos (LMR)."
¿Cuál es el modo de acción del Azoxistrobina?,El Azoxistrobina actúa como: Inhibidor QoI (Código FRAC 11). Sistémico. Inhibe la respiración mitocondrial (Complejo III).. Se usa para controlar Antracnosis en maracuyá.
¿Qué enfermedades trata el Azoxistrobina?,"El Azoxistrobina se usa para controlar Antracnosis en maracuyá, aplicado por Aspersión foliar manual o inmersión post-cosecha."
